index,name,name_zh,sector,sector_zh,payload_sector,settings_hash,biome_en,biome_zh,hazards_zh,max_health,initial_owner,initial_owner_zh,pos_x,pos_y,region_count,regions
0,SUPER EARTH,超级地球,Sol,太阳系,0,897386910,Super Earth,超级地球,,1000000,1,超级地球,0,0,7,EAGLEOPOLIS | ADMINISTRATIVE CENTER 02 | REMEMBRANCE | YORK SUPREME | PORT MERCY | PROSPERITY CITY | EQUALITY-ON-SEA
1,KLEN DAHTH II,克伦达斯II,Altus,阿尔特斯,1,3621417917,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,0.05373042,0.10565466,0,
2,PATHFINDER V,开拓者V,Altus,阿尔特斯,1,2543303604,Plains,平原,,1000000,1,超级地球,0.04664221,0.16758725,0,
3,WIDOW'S HARBOR,寡妇港,Altus,阿尔特斯,1,2768073863,Moon,月球,流星风暴,1000000,1,超级地球,0.12536779,0.11821219,0,
4,NEW HAVEN,纽黑文,Altus,阿尔特斯,1,158585041,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,0.10280278,0.05765711,0,
5,PILEN V,皮伦V,Altus,阿尔特斯,1,1008084099,Desert Cliffs,沙漠峭壁,地震活动,1000000,1,超级地球,0.15988354,0.043583166,0,
6,HYDROFALL PRIME,水瀑主星,Barnard,巴纳德,2,167872110,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,0.13535836,-0.03378948,0,
7,ZEA RUGOSIA,泽亚鲁戈西亚,Ferris,费里斯,2,1138804949,Desert Cliffs,沙漠峭壁,地震活动,1700000,1,超级地球,0.36159223,-0.52270126,3,NEW COB | GENE | STARPASS
8,DARROWSPORT,达罗斯波特,Barnard,巴纳德,2,3550298780,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,0.09485684,-0.08101245,0,
9,FORNSKOGUR II,福恩斯科古尔II,Barnard,巴纳德,2,1025193891,Basic Swamp,原始沼泽,,1000000,1,超级地球,0.15801243,-0.09685686,0,
10,MIDASBURG,弥达斯堡,Barnard,巴纳德,2,2767954873,Tundra,苔原,,1000000,1,超级地球,0.06770126,-0.1448935,0,
11,CERBERUS IIIc,刻耳柏洛斯IIIc,Cancri,康谷利伊,3,688773671,Desert Cliffs,沙漠峭壁,地震活动,1000000,1,超级地球,0.001789452,-0.18935835,0,
12,PROSPERITY FALLS,繁荣瀑布,Cancri,康谷利伊,3,160818366,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,-0.001789474,-0.12535837,0,
13,OKUL VI,,Gothmar,,4,2877873656,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,-0.06158319,-0.16488354,0,
14,MARTYR'S BAY,,Cantolus,,5,1529228469,Boneyard,骸骨场,,1000000,1,超级地球,-0.099012464,-0.11185683,0,
15,FREEDOM PEAK,,Cantolus,,5,3749877391,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,-0.17010404,-0.08865711,0,
16,FORT UNION,,Orion,,5,4254371037,Plains,平原,,1000000,1,超级地球,0.27240774,0.20429876,4,OTARU'S PLEDGE | XIAMEN ANEW | MUNITION CITY | NEW HOPE CITY
17,KELVINOR,,Cantolus,,5,2273175182,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,-0.14765465,-0.030730395,0,
